url,target,description
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/004/SRR8667714/SRR8667714_1.fastq.gz,data/seaweed/raw/c3.d35_R1.fastq,forward reads for c3.d35
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8667717/SRR8667717_1.fastq.gz,data/seaweed/raw/c3.d41_R1.fastq,forward reads for c3.d41
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8667716/SRR8667716_1.fastq.gz,data/seaweed/raw/c4.d31_R1.fastq,forward reads for c4.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/009/SRR8667719/SRR8667719_1.fastq.gz,data/seaweed/raw/c5.d31_R1.fastq,forward reads for c5.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/008/SRR8667718/SRR8667718_1.fastq.gz,data/seaweed/raw/c6.d31_R1.fastq,forward reads for c6.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/001/SRR8667721/SRR8667721_1.fastq.gz,data/seaweed/raw/c7.d31_R1.fastq,forward reads for c7.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/000/SRR8667720/SRR8667720_1.fastq.gz,data/seaweed/raw/c8.d31_R1.fastq,forward reads for c8.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/003/SRR8667713/SRR8667713_1.fastq.gz,data/seaweed/raw/d1.d1_R1.fastq,forward reads for d1.d1
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/002/SRR8667712/SRR8667712_1.fastq.gz,data/seaweed/raw/d1.d20_R1.fastq,forward reads for d1.d20
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/008/SRR8667708/SRR8667708_1.fastq.gz,data/seaweed/raw/d1.d31_R1.fastq,forward reads for d1.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/009/SRR8667709/SRR8667709_1.fastq.gz,data/seaweed/raw/d1.d35_R1.fastq,forward reads for d1.d35
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/000/SRR8667710/SRR8667710_1.fastq.gz,data/seaweed/raw/d1.d41_R1.fastq,forward reads for d1.d41
