url,target,description
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/001/SRR8664511/SRR8664511_1.fastq.gz,data/duration/raw/16A-03-04-16_R1_001.fastq.gz,forward reads for 16A-03-04-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/000/SRR8664520/SRR8664520_1.fastq.gz,data/duration/raw/16A-03-20-16_R1_001.fastq.gz,forward reads for 16A-03-20-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/009/SRR8664519/SRR8664519_1.fastq.gz,data/duration/raw/16A-03-22-16_R1_001.fastq.gz,forward reads for 16A-03-22-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/009/SRR8664559/SRR8664559_1.fastq.gz,data/duration/raw/16A-03-24-16_R1_001.fastq.gz,forward reads for 16A-03-24-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/000/SRR8664560/SRR8664560_1.fastq.gz,data/duration/raw/16A-03-28-16_R1_001.fastq.gz,forward reads for 16A-03-28-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8664557/SRR8664557_1.fastq.gz,data/duration/raw/16A-04-05-16_R1_001.fastq.gz,forward reads for 16A-04-05-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/008/SRR8664558/SRR8664558_1.fastq.gz,data/duration/raw/16B-03-03-16_R1_001.fastq.gz,forward reads for 16B-03-03-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/005/SRR8664555/SRR8664555_1.fastq.gz,data/duration/raw/16B-03-04-16_R1_001.fastq.gz,forward reads for 16B-03-04-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8664556/SRR8664556_1.fastq.gz,data/duration/raw/16B-03-20-16_R1_001.fastq.gz,forward reads for 16B-03-20-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/003/SRR8664553/SRR8664553_1.fastq.gz,data/duration/raw/16B-03-22-16_R1_001.fastq.gz,forward reads for 16B-03-22-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/004/SRR8664554/SRR8664554_1.fastq.gz,data/duration/raw/16B-03-24-16_R1_001.fastq.gz,forward reads for 16B-03-24-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/001/SRR8664551/SRR8664551_1.fastq.gz,data/duration/raw/16B-03-28-16_R1_001.fastq.gz,forward reads for 16B-03-28-16
