,sample-1,sample-10,sample-11,sample-12,sample-13,sample-14,sample-15,sample-16,sample-17,sample-18,sample-19,sample-2,sample-20,sample-21,sample-22,sample-23,sample-24,sample-25,sample-26,sample-27,sample-28,sample-29,sample-3,sample-30,sample-31,sample-32,sample-33,sample-34,sample-35,sample-36,sample-37,sample-38,sample-39,sample-4,sample-40,sample-41,sample-42,sample-43,sample-44,sample-45,sample-46,sample-47,sample-48,sample-49,sample-5,sample-50,sample-51,sample-52,sample-53,sample-54,sample-55,sample-56,sample-57,sample-58,sample-59,sample-6,sample-60,sample-61,sample-62,sample-63,sample-64,sample-65,sample-66,sample-67,sample-68,sample-69,sample-7,sample-70,sample-71,sample-72,sample-73,sample-74,sample-75,sample-76,sample-77,sample-78,sample-79,sample-8,sample-80,sample-81,sample-82,sample-83,sample-84,sample-85,sample-86,sample-87,sample-88,sample-89,sample-9,sample-90,sample-91,sample-92,sample-93,sample-94,sample-95,sample-96
903a54cbf64572c7df10b5c6dd89fdf9,125.0,0.0,10.0,12.0,0.0,404.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,117.0,0.0,20.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,38.0,0.0,0.0,168.0,8.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,16.0,27.0,57.0,0.0,20.0,13.0,0.0,0.0,369.0,31.0,17.0,9.0,26.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,51.0,29.0,0.0,0.0,0.0,70.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89070b45ea43044a45175ccb6ebbda8a,0.0,265.0,0.0,47.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,32.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,68.0,59.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,289.0
bdb9a2a4f926d52270b4814406e313c2,61.0,0.0,16.0,29.0,0.0,0.0,0.0,25.0,25.0,109.0,0.0,21.0,0.0,79.0,14.0,35.0,28.0,19.0,55.0,32.0,9.0,46.0,0.0,31.0,17.0,34.0,10.0,0.0,46.0,34.0,29.0,84.0,0.0,0.0,32.0,0.0,0.0,0.0,33.0,10.0,0.0,0.0,0.0,25.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,137.0,0.0,18.0,26.0,0.0,27.0,71.0,22.0,59.0,57.0,13.0,79.0,0.0,33.0,62.0,29.0,14.0,19.0,0.0,16.0,26.0,39.0,0.0,0.0,0.0,24.0,41.0,29.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
7d184add66af24c5295129487d12095b,0.0,0.0,0.0,33.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,58.0,0.0,44.0,9.0,28.0,11.0,12.0,14.0,34.0,0.0,71.0,0.0,32.0,0.0,7.0,0.0,20.0,11.0,106.0,0.0,38.0,0.0,0.0,14.0,0.0,0.0,0.0,29.0,78.0,0.0,0.0,0.0,11.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,61.0,27.0,69.0,0.0,114.0,30.0,141.0,48.0,127.0,81.0,0.0,0.0,3.0,76.0,105.0,39.0,4.0,0.0,0.0,5.0,34.0,0.0,0.0,0.0,20.0,50.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
702fa0b2a9e267afeec481cb52c5685e,0.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,40.0,23.0,0.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,0.0,0.0
33cb76ec5368461945563ab8a635739f,0.0,0.0,0.0,0.0,247.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,282.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,169.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,0.0,0.0
8e83b6a89e684a2d60fd32aa8b84c215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,322.0,40.0,0.0,0.0,0.0,0.0,309.0,402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0
ebebaf3fc68f4c87fa1d251b88d054b6,0.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,60.0,0.0,0.0,0.0,0.0,295.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,171.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,0.0,0.0
83a14ee437399d02d59820384160ab82,0.0,0.0,0.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,174.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,0.0,0.0
2ef9c6c66d61156de01bce7701e68924,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,166.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,0.0,0.0
