n,effect,r2,r2_sd,power,power_sd,asym_r2,asym_r2_sd,fdr,fdr_sd
20,0.3,0.0699961315672098,0.00256344609106713,0.46,0.171269767715535,0.0198448611242564,0.000935012903394122,0.0597014925373134,0.0770742954469138
28,0.3,0.0634502034962774,0.00237233342337158,0.98,0.0421637021355784,0.0198448611242564,0.000935012903394122,0.0517464424320828,0.10909107926411
38,0.3,0.0493083418284152,0.00225619885548498,1,0,0.0198448611242564,0.000935012903394122,0.0985221674876847,0.0778886123194182
50,0.3,0.0503755716635653,0.00194782845616572,1,0,0.0198448611242564,0.000935012903394122,0.0630517023959647,0.107167286960756
70,0.3,0.0307722564465412,0.000849679352977369,1,0,0.0198448611242564,0.000935012903394122,0.0482509047044632,0.0622916501199424
94,0.3,0.0383842463274282,0.000496752603849323,1,0,0.0198448611242564,0.000935012903394122,0.04739336492891,0.061184571030133
128,0.3,0.0198448611242564,0.000935012903394122,1,0,0.0198448611242564,0.000935012903394122,0.0670391061452514,0.0942205634314601
4,0.4,0.358576946114574,0.0203154216922728,0,0,0.0381540909776129,0.000820184310578316,,
6,0.4,0.218779027165821,0.0128438445016859,0,0,0.0381540909776129,0.000820184310578316,,
8,0.4,0.155725728499625,0.00587985361636683,0.06,0.0516397779494322,0.0381540909776129,0.000820184310578316,0.191387559808612,0.334548276928278
12,0.4,0.117741509176858,0.00233878543844534,0.4,0.133333333333333,0.0381540909776129,0.000820184310578316,0.112781954887218,0.131429680221824
16,0.4,0.0994356467316676,0.00403480350963188,0.78,0.154919333848297,0.0381540909776129,0.000820184310578316,0.131578947368421,0.202182992484493
20,0.4,0.0807708165070364,0.00417857262864837,0.83,0.115950180872841,0.0381540909776129,0.000820184310578316,0.0597014925373134,0.0770742954469138
28,0.4,0.0551440891737069,0.00292549479118777,0.73,0.125166555703457,0.0381540909776129,0.000820184310578316,0.0517464424320828,0.10909107926411
38,0.4,0.0494798602121975,0.00175889327754148,1,0,0.0381540909776129,0.000820184310578316,0.0985221674876847,0.0778886123194182
50,0.4,0.0629496046630789,0.00140437791234485,1,0,0.0381540909776129,0.000820184310578316,0.0630517023959647,0.107167286960756
70,0.4,0.0335149718914225,0.000919040744964317,1,0,0.0381540909776129,0.000820184310578316,0.0482509047044632,0.0622916501199424
94,0.4,0.0259190816217844,0.000674368862275771,1,0,0.0381540909776129,0.000820184310578316,0.04739336492891,0.061184571030133
128,0.4,0.0381540909776129,0.000820184310578316,1,0,0.0381540909776129,0.000820184310578316,0.0670391061452514,0.0942205634314601
4,0.5,0.381585421915301,0.0141720586045189,0,0,0.0564362692133414,0.000757235893392607,,
6,0.5,0.230664324781676,0.0116684831409431,0,0,0.0564362692133414,0.000757235893392607,,
8,0.5,0.15396759839284,0.00732690048011287,0.12,0.0918936583472681,0.0564362692133414,0.000757235893392607,0.191387559808612,0.334548276928278
12,0.5,0.127535351197631,0.00575904474110686,0.68,0.13984117975602,0.0564362692133414,0.000757235893392607,0.112781954887218,0.131429680221824
