n,effect,mu,phi,mean_reads,prevalence,power,power_sd,fdr,fdr_sd
6,0.7,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.156470588235294,0.05092002459021,0.126568925027515,0.0415177795290371
8,0.7,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.314117647058824,0.039038816830572,0.0437298752576757,0.0259098078410153
12,0.7,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.258823529411765,0.0238539707070518,0.0579528267966806,0.0535186215548073
16,0.7,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.438823529411765,0.0188480232795261,0.0451890612696785,0.0319157314230034
20,0.7,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.468823529411765,0.0249644114241596,0.0267342091216682,0.0137211173055422
28,0.7,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.622352941176471,0.0113657856832858,0.0263894230171627,0.0174267097618181
38,0.7,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.727058823529412,0.0175815778599686,0.0193658423278096,0.0186589350317302
50,0.7,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.496470588235294,0.013641197749746,0.0170917071270606,0.0159523327008675
70,0.7,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.535882352941177,0.0112467689409412,0.0213975135923909,0.00989908091222607
94,0.7,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.701176470588235,0.00607526799405087,0.0188744617015219,0.00660350484775633
128,0.7,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.823529411764706,0,0.0188055097753744,0.0111728503673441
4,0.8,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.171176470588235,0.0437083409612927,0.196503345729933,0.0923981156455244
6,0.8,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.188823529411765,0.024403691869368,0.120980616886792,0.0461688947461911
8,0.8,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.298235294117647,0.0332813897471042,0.0581454727673881,0.0234558334343412
12,0.8,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.435294117647059,0.0218343700503138,0.039513112039562,0.025334708911971
16,0.8,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.595882352941176,0.0302558613701719,0.0144306529879686,0.00922186192632032
20,0.8,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.769411764705882,0.0243010719762034,0.0179362633399558,0.0148840541356706
28,0.8,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.671176470588235,0.0112467689409412,0.0196079735105162,0.0111387238376593
38,0.8,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.687058823529412,0.00911290199107627,0.0215733014460239,0.0132445831582088
50,0.8,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.654117647058824,0.00952545709920869,0.0201582608166871,0.00807191670503707
70,0.8,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.611764705882353,0.0107396579902974,0.0206374285690835,0.0128870977808698
94,0.8,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.625882352941177,0.00841082768216753,0.0192459540231724,0.0115738531259335
128,0.8,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.594705882352941,0.00434038110219188,0.0377368925086122,0.0202669213458203
4,0.9,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.218235294117647,0.0314276476943495,0.194886778309315,0.0591934878656176
